CybORG v2.1, Scenario2, Commit Hash: 26ce1c1253fa9e2e73f25e6a7f2da32860c11257
author: test, team: test, technique: test
wrappers: ChallengeWrapper(env=env, agent_name='Blue')
steps: 30, adversary: B_lineAgent, mean: -160.51899999999995, standard deviation 81.3768545941434
actions: [('Remove User1', 'DiscoverRemoteSystems 10.0.184.16/28'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.184.20'), ('Analyse User0', 'ExploitRemoteService 10.0.184.20'), ('DecoyFemitter Op_Host0', 'PrivilegeEscalate User2'), ('Remove Op_Server0', 'DiscoverNetworkServices 10.0.252.56'), ('Remove User2', 'ExploitRemoteService 10.0.252.56'), ('Analyse Defender', 'PrivilegeEscalate Enterprise1'), ('DecoyFemitter Enterprise0', 'DiscoverRemoteSystems 10.0.252.48/28'), ('DecoyApache Op_Host2', 'DiscoverNetworkServices 10.0.252.50'), ('DecoyApache Op_Server0', 'ExploitRemoteService 10.0.252.50'), ('DecoyApache Defender', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter User2', 'DiscoverNetworkServices 10.0.240.230'), ('DecoyApache Enterprise1', 'ExploitRemoteService 10.0.240.230'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.252.50'), ('Analyse Op_Server0', 'PrivilegeEscalate Enterprise2'), ('DecoyApache Enterprise1', 'DiscoverNetworkServices 10.0.240.230'), ('DecoyApache User0', 'ExploitRemoteService 10.0.240.230'), ('DecoyFemitter User1', 'PrivilegeEscalate Op_Server0'), ('DecoyFemitter Enterprise1', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('DecoyFemitter Defender', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('DecoyApache Enterprise2', 'Impact Op_Server0'), ('DecoyFemitter Op_Host0', 'Impact Op_Server0'), ('DecoyApache Enterprise1', 'Impact Op_Server0'), ('DecoyFemitter User3', 'Impact Op_Server0'), ('DecoyApache Op_Server0', 'Impact Op_Server0'), ('DecoyFemitter User2', 'Impact Op_Server0')], total reward: -179.79999999999995
actions: [('DecoyApache User2', 'DiscoverRemoteSystems 10.0.126.240/28'), ('Remove Enterprise0', 'DiscoverNetworkServices 10.0.126.249'), ('DecoyFemitter Enterprise0', 'ExploitRemoteService 10.0.126.249'), ('Analyse Op_Host1', 'PrivilegeEscalate User1'), ('Analyse User4', 'DiscoverNetworkServices 10.0.153.65'), ('DecoyApache Op_Host2', 'ExploitRemoteService 10.0.153.65'), ('DecoyApache User0', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Host0', 'DiscoverRemoteSystems 10.0.153.64/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.153.68'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.153.68'), ('DecoyFemitter User0', 'PrivilegeEscalate Enterprise2'), ('Analyse User2', 'DiscoverNetworkServices 10.0.154.209'), ('DecoyApache Enterprise2', 'ExploitRemoteService 10.0.154.209'), ('DecoyFemitter User2', 'PrivilegeEscalate Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('DecoyApache Enterprise1', 'Impact Op_Server0'), ('Remove Defender', 'Impact Op_Server0'), ('DecoyApache Enterprise2', 'Impact Op_Server0'), ('DecoyFemitter Op_Host2', 'Impact Op_Server0'), ('DecoyFemitter User4', 'Impact Op_Server0'), ('DecoyFemitter Enterprise1', 'Impact Op_Server0'), ('DecoyApache Op_Host0', 'Impact Op_Server0'), ('DecoyApache User2', 'Impact Op_Server0'), ('DecoyFemitter User0', 'Impact Op_Server0'), ('Analyse Enterprise2', 'Impact Op_Server0'), ('DecoyFemitter User0', 'Impact Op_Server0'), ('Remove Defender', 'Impact Op_Server0'), ('Remove User3', 'Impact Op_Server0'), ('Remove Op_Host2', 'Impact Op_Server0'), ('Remove Op_Host2', 'Impact Op_Server0')], total reward: -223.69999999999993
actions: [('DecoyApache Op_Server0', 'DiscoverRemoteSystems 10.0.135.144/28'), ('Remove Op_Host0', 'DiscoverNetworkServices 10.0.135.147'), ('DecoyApache User3', 'ExploitRemoteService 10.0.135.147'), ('Analyse Op_Host0', 'PrivilegeEscalate User2'), ('Remove Enterprise0', 'DiscoverNetworkServices 10.0.43.5'), ('Remove User1', 'ExploitRemoteService 10.0.43.5'), ('Remove User3', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host0', 'DiscoverRemoteSystems 10.0.43.0/28'), ('DecoyApache Enterprise1', 'DiscoverNetworkServices 10.0.43.11'), ('DecoyApache Enterprise1', 'ExploitRemoteService 10.0.43.11'), ('DecoyFemitter Op_Host1', 'PrivilegeEscalate Enterprise2'), ('Remove Op_Host2', 'DiscoverNetworkServices 10.0.68.108'), ('Remove User1', 'ExploitRemoteService 10.0.68.108'), ('Remove User4', 'ExploitRemoteService 10.0.43.11'), ('DecoyApache Op_Host2', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter User0', 'DiscoverNetworkServices 10.0.68.108'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.68.108'), ('DecoyApache User1', 'PrivilegeEscalate Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('DecoyFemitter User3', 'Impact Op_Server0'), ('DecoyFemitter Enterprise2', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0'), ('DecoyFemitter Enterprise2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('DecoyFemitter Op_Host1', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('DecoyFemitter Defender', 'Impact Op_Server0'), ('DecoyFemitter Defender', 'Impact Op_Server0')], total reward: -179.79999999999995
actions: [('Analyse Op_Host0', 'DiscoverRemoteSystems 10.0.48.80/28'), ('DecoyFemitter Defender', 'DiscoverNetworkServices 10.0.48.84'), ('DecoyFemitter Defender', 'ExploitRemoteService 10.0.48.84'), ('DecoyApache Op_Host1', 'PrivilegeEscalate User3'), ('Remove Op_Host1', 'DiscoverNetworkServices 10.0.162.211'), ('DecoyApache Enterprise0', 'ExploitRemoteService 10.0.162.211'), ('Analyse Defender', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter Op_Host1', 'DiscoverRemoteSystems 10.0.162.208/28'), ('DecoyApache User4', 'DiscoverNetworkServices 10.0.162.217'), ('DecoyApache User0', 'ExploitRemoteService 10.0.162.217'), ('Analyse Enterprise0', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter User2', 'DiscoverNetworkServices 10.0.236.221'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.236.221'), ('Analyse Op_Host0', 'PrivilegeEscalate Op_Server0'), ('Remove Op_Host1', 'Impact Op_Server0'), ('DecoyApache User3', 'Impact Op_Server0'), ('DecoyApache Op_Server0', 'Impact Op_Server0'), ('Analyse User0', 'Impact Op_Server0'), ('DecoyFemitter Op_Host1', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('Remove Enterprise0', 'Impact Op_Server0'), ('Remove User3', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('DecoyApache Enterprise2', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('DecoyApache User2', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('DecoyFemitter Op_Host1', 'Impact Op_Server0'), ('Remove Defender', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('DecoyApache Enterprise0', 'DiscoverRemoteSystems 10.0.161.208/28'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.161.214'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.161.214'), ('DecoyFemitter User3', 'PrivilegeEscalate User4'), ('Remove User1', 'DiscoverNetworkServices 10.0.109.107'), ('DecoyApache Op_Server0', 'ExploitRemoteService 10.0.109.107'), ('DecoyApache Enterprise2', 'ExploitRemoteService 10.0.161.214'), ('DecoyFemitter Defender', 'PrivilegeEscalate User4'), ('Remove User0', 'DiscoverNetworkServices 10.0.109.107'), ('Analyse Op_Host2', 'ExploitRemoteService 10.0.109.107'), ('DecoyApache Defender', 'ExploitRemoteService 10.0.161.214'), ('DecoyApache User1', 'PrivilegeEscalate User4'), ('Analyse Defender', 'DiscoverNetworkServices 10.0.109.107'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.109.107'), ('DecoyApache User1', 'ExploitRemoteService 10.0.161.214'), ('Analyse Enterprise2', 'PrivilegeEscalate User4'), ('DecoyApache User0', 'DiscoverNetworkServices 10.0.109.107'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.109.107'), ('DecoyApache Op_Server0', 'PrivilegeEscalate Enterprise0'), ('Analyse User2', 'DiscoverRemoteSystems 10.0.109.96/28'), ('DecoyFemitter Defender', 'DiscoverNetworkServices 10.0.109.98'), ('Analyse Defender', 'ExploitRemoteService 10.0.109.98'), ('Remove User3', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.145.233'), ('Remove Enterprise0', 'ExploitRemoteService 10.0.145.233'), ('Analyse Enterprise1', 'PrivilegeEscalate Op_Server0'), ('DecoyApache Op_Host1', 'Impact Op_Server0'), ('Analyse User1', 'Impact Op_Server0'), ('Analyse User3', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0')], total reward: -67.7
actions: [('DecoyApache User4', 'DiscoverRemoteSystems 10.0.177.16/28'), ('DecoyApache Op_Server0', 'DiscoverNetworkServices 10.0.177.18'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.177.18'), ('DecoyApache Enterprise2', 'PrivilegeEscalate User3'), ('DecoyFemitter User2', 'DiscoverNetworkServices 10.0.247.241'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.247.241'), ('Remove User3', 'PrivilegeEscalate Enterprise0'), ('DecoyApache Op_Host2', 'DiscoverRemoteSystems 10.0.247.240/28'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.247.245'), ('DecoyFemitter Op_Host1', 'ExploitRemoteService 10.0.247.245'), ('Analyse Enterprise0', 'PrivilegeEscalate Enterprise2'), ('DecoyApache User1', 'DiscoverNetworkServices 10.0.142.186'), ('DecoyApache Defender', 'ExploitRemoteService 10.0.142.186'), ('Remove Op_Host0', 'ExploitRemoteService 10.0.247.245'), ('Analyse Op_Server0', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter User2', 'DiscoverNetworkServices 10.0.142.186'), ('DecoyFemitter Enterprise0', 'ExploitRemoteService 10.0.142.186'), ('DecoyFemitter Op_Server0', 'ExploitRemoteService 10.0.247.245'), ('DecoyFemitter Defender', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.142.186'), ('DecoyFemitter Op_Host0', 'ExploitRemoteService 10.0.142.186'), ('DecoyFemitter User2', 'ExploitRemoteService 10.0.247.245'), ('DecoyFemitter User4', 'PrivilegeEscalate Enterprise2'), ('Remove User3', 'DiscoverNetworkServices 10.0.142.186'), ('Analyse User4', 'ExploitRemoteService 10.0.142.186'), ('Remove User1', 'ExploitRemoteService 10.0.247.245'), ('DecoyFemitter Defender', 'PrivilegeEscalate Enterprise2'), ('Remove Op_Host1', 'DiscoverNetworkServices 10.0.142.186'), ('Analyse User4', 'ExploitRemoteService 10.0.142.186'), ('Remove User1', 'ExploitRemoteService 10.0.247.245')], total reward: -46.80000000000002
actions: [('Analyse User0', 'DiscoverRemoteSystems 10.0.203.192/28'), ('DecoyApache Op_Host0', 'DiscoverNetworkServices 10.0.203.204'), ('DecoyApache User3', 'ExploitRemoteService 10.0.203.204'), ('DecoyApache Enterprise0', 'PrivilegeEscalate User2'), ('DecoyFemitter User2', 'DiscoverNetworkServices 10.0.33.179'), ('Analyse User0', 'ExploitRemoteService 10.0.33.179'), ('Remove User4', 'PrivilegeEscalate Enterprise1'), ('Analyse Enterprise2', 'DiscoverRemoteSystems 10.0.33.176/28'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.33.186'), ('Remove User1', 'ExploitRemoteService 10.0.33.186'), ('Analyse Defender', 'PrivilegeEscalate Enterprise2'), ('DecoyApache User1', 'DiscoverNetworkServices 10.0.54.35'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.54.35'), ('Remove Op_Host0', 'PrivilegeEscalate Op_Server0'), ('DecoyApache Defender', 'Impact Op_Server0'), ('Analyse User1', 'Impact Op_Server0'), ('Remove Op_Server0', 'Impact Op_Server0'), ('DecoyFemitter Enterprise2', 'Impact Op_Server0'), ('Remove Op_Host0', 'Impact Op_Server0'), ('Analyse User2', 'Impact Op_Server0'), ('Analyse User4', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('DecoyApache Enterprise2', 'Impact Op_Server0'), ('DecoyFemitter Enterprise0', 'Impact Op_Server0'), ('DecoyFemitter User4', 'Impact Op_Server0'), ('Remove Op_Host2', 'Impact Op_Server0'), ('Analyse User4', 'Impact Op_Server0'), ('DecoyApache User3', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('DecoyFemitter User4', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Analyse User1', 'DiscoverRemoteSystems 10.0.85.176/28'), ('Remove Op_Host0', 'DiscoverNetworkServices 10.0.85.186'), ('Analyse Defender', 'ExploitRemoteService 10.0.85.186'), ('Analyse User3', 'PrivilegeEscalate User4'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.209.157'), ('Remove Op_Host0', 'ExploitRemoteService 10.0.209.157'), ('DecoyFemitter User1', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter User2', 'DiscoverRemoteSystems 10.0.209.144/28'), ('DecoyFemitter Enterprise0', 'DiscoverNetworkServices 10.0.209.147'), ('Remove User4', 'ExploitRemoteService 10.0.209.147'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate Enterprise2'), ('Remove Enterprise2', 'DiscoverNetworkServices 10.0.66.229'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.66.229'), ('Analyse Enterprise2', 'PrivilegeEscalate Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0'), ('DecoyApache User0', 'Impact Op_Server0'), ('DecoyFemitter User4', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('DecoyFemitter Defender', 'Impact Op_Server0'), ('DecoyApache Op_Host1', 'Impact Op_Server0'), ('DecoyApache User0', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0'), ('DecoyFemitter Op_Host0', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('DecoyFemitter Op_Host0', 'Impact Op_Server0'), ('Remove Op_Server0', 'Impact Op_Server0'), ('DecoyFemitter Enterprise1', 'Impact Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('DecoyApache Enterprise0', 'DiscoverRemoteSystems 10.0.203.16/28'), ('DecoyApache Op_Server0', 'DiscoverNetworkServices 10.0.203.25'), ('DecoyFemitter User3', 'ExploitRemoteService 10.0.203.25'), ('DecoyFemitter Op_Server0', 'PrivilegeEscalate User1'), ('DecoyApache Enterprise2', 'DiscoverNetworkServices 10.0.125.152'), ('DecoyApache Op_Host0', 'ExploitRemoteService 10.0.125.152'), ('DecoyApache Op_Host1', 'PrivilegeEscalate Enterprise1'), ('DecoyFemitter Enterprise0', 'DiscoverRemoteSystems 10.0.125.144/28'), ('DecoyFemitter Enterprise0', 'DiscoverNetworkServices 10.0.125.149'), ('DecoyFemitter User1', 'ExploitRemoteService 10.0.125.149'), ('DecoyApache Op_Server0', 'PrivilegeEscalate Enterprise2'), ('DecoyApache User1', 'DiscoverNetworkServices 10.0.77.230'), ('Analyse User1', 'ExploitRemoteService 10.0.77.230'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.125.149'), ('Analyse User2', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.77.230'), ('DecoyFemitter Op_Host2', 'ExploitRemoteService 10.0.77.230'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.125.149'), ('DecoyApache Op_Host1', 'PrivilegeEscalate Enterprise2'), ('Analyse Defender', 'DiscoverNetworkServices 10.0.77.230'), ('Remove Defender', 'ExploitRemoteService 10.0.77.230'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.125.149'), ('DecoyApache Enterprise2', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter User3', 'DiscoverNetworkServices 10.0.77.230'), ('DecoyApache Enterprise0', 'ExploitRemoteService 10.0.77.230'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.125.149'), ('Remove User0', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter Op_Host2', 'DiscoverNetworkServices 10.0.77.230'), ('Remove Op_Host0', 'ExploitRemoteService 10.0.77.230'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.125.149')], total reward: -47.80000000000002
actions: [('DecoyFemitter User1', 'DiscoverRemoteSystems 10.0.223.96/28'), ('DecoyFemitter Op_Server0', 'DiscoverNetworkServices 10.0.223.103'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.223.103'), ('Analyse User2', 'ExploitRemoteService 10.0.223.103'), ('Analyse User3', 'PrivilegeEscalate User3'), ('Remove User4', 'DiscoverNetworkServices 10.0.217.56'), ('DecoyApache User4', 'ExploitRemoteService 10.0.217.56'), ('DecoyFemitter User1', 'PrivilegeEscalate Enterprise0'), ('DecoyApache User4', 'DiscoverRemoteSystems 10.0.217.48/28'), ('DecoyApache Op_Host0', 'DiscoverNetworkServices 10.0.217.53'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.217.53'), ('Analyse Defender', 'PrivilegeEscalate Enterprise2'), ('Analyse Defender', 'DiscoverNetworkServices 10.0.122.216'), ('Remove User2', 'ExploitRemoteService 10.0.122.216'), ('Remove Op_Server0', 'PrivilegeEscalate Op_Server0'), ('DecoyFemitter Op_Host2', 'Impact Op_Server0'), ('DecoyApache Op_Server0', 'Impact Op_Server0'), ('DecoyFemitter User4', 'Impact Op_Server0'), ('Remove Op_Host1', 'Impact Op_Server0'), ('DecoyFemitter Op_Host0', 'Impact Op_Server0'), ('Analyse User0', 'Impact Op_Server0'), ('DecoyFemitter Op_Server0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('DecoyApache Enterprise2', 'Impact Op_Server0'), ('DecoyFemitter Op_Host1', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('DecoyApache User4', 'Impact Op_Server0'), ('Analyse User3', 'Impact Op_Server0')], total reward: -210.59999999999994
actions: [('DecoyFemitter Enterprise1', 'DiscoverRemoteSystems 10.0.227.16/28'), ('DecoyFemitter Enterprise2', 'DiscoverNetworkServices 10.0.227.29'), ('DecoyFemitter Enterprise0', 'ExploitRemoteService 10.0.227.29'), ('DecoyApache Enterprise0', 'PrivilegeEscalate User1'), ('DecoyApache User2', 'DiscoverNetworkServices 10.0.84.225'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.84.225'), ('Monitor', 'ExploitRemoteService 10.0.227.29'), ('Analyse Enterprise0', 'PrivilegeEscalate User1'), ('DecoyApache Op_Host2', 'DiscoverNetworkServices 10.0.84.225'), ('DecoyFemitter Op_Host1', 'ExploitRemoteService 10.0.84.225'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.227.29'), ('DecoyFemitter User0', 'PrivilegeEscalate User1'), ('Remove User1', 'DiscoverNetworkServices 10.0.84.225'), ('DecoyFemitter Enterprise0', 'ExploitRemoteService 10.0.84.225'), ('DecoyFemitter User4', 'ExploitRemoteService 10.0.227.29'), ('DecoyFemitter User0', 'PrivilegeEscalate User1'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.84.225'), ('Remove Defender', 'ExploitRemoteService 10.0.84.225'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.227.29'), ('Analyse Enterprise0', 'PrivilegeEscalate User1'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.84.225'), ('DecoyFemitter User1', 'ExploitRemoteService 10.0.84.225'), ('Remove Defender', 'ExploitRemoteService 10.0.227.29'), ('Analyse User2', 'PrivilegeEscalate User1'), ('DecoyFemitter User3', 'DiscoverNetworkServices 10.0.84.225'), ('DecoyFemitter User2', 'ExploitRemoteService 10.0.84.225'), ('DecoyFemitter Op_Server0', 'ExploitRemoteService 10.0.227.29'), ('Remove Enterprise1', 'PrivilegeEscalate User1'), ('DecoyFemitter Op_Host2', 'DiscoverNetworkServices 10.0.84.225'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.84.225')], total reward: -2.800000000000001
