CybORG v2.1, Scenario2, Commit Hash: 26ce1c1253fa9e2e73f25e6a7f2da32860c11257
author: tes, team: test, technique: test
wrappers: ChallengeWrapper(env=env, agent_name='Blue')
steps: 30, adversary: B_lineAgent, mean: -162.06499999999997, standard deviation 79.2599627297363
actions: [('DecoyApache Op_Server0', 'DiscoverRemoteSystems 10.0.178.144/28'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.178.152'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.178.152'), ('DecoyApache Enterprise0', 'PrivilegeEscalate User1'), ('DecoyApache Op_Host2', 'DiscoverNetworkServices 10.0.231.253'), ('DecoyApache User3', 'ExploitRemoteService 10.0.231.253'), ('Remove User1', 'ExploitRemoteService 10.0.178.152'), ('Analyse User0', 'PrivilegeEscalate User1'), ('Remove User3', 'DiscoverNetworkServices 10.0.231.253'), ('Remove User0', 'ExploitRemoteService 10.0.231.253'), ('Remove Enterprise0', 'PrivilegeEscalate Enterprise1'), ('DecoyApache User2', 'DiscoverRemoteSystems 10.0.231.240/28'), ('DecoyApache User0', 'DiscoverNetworkServices 10.0.231.254'), ('Remove User3', 'ExploitRemoteService 10.0.231.254'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter Op_Host1', 'DiscoverNetworkServices 10.0.178.140'), ('Sleep', 'ExploitRemoteService 10.0.178.140'), ('DecoyFemitter User2', 'ExploitRemoteService 10.0.231.254'), ('DecoyApache User3', 'PrivilegeEscalate Enterprise2'), ('DecoyApache User4', 'DiscoverNetworkServices 10.0.178.140'), ('DecoyFemitter Op_Host0', 'ExploitRemoteService 10.0.178.140'), ('Remove Enterprise2', 'ExploitRemoteService 10.0.231.254'), ('Analyse User1', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter Op_Host0', 'DiscoverNetworkServices 10.0.178.140'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.178.140'), ('Remove User3', 'ExploitRemoteService 10.0.231.254'), ('DecoyFemitter Enterprise2', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.178.140'), ('DecoyFemitter Op_Host1', 'ExploitRemoteService 10.0.178.140'), ('DecoyApache User4', 'ExploitRemoteService 10.0.231.254')], total reward: -38.80000000000001
actions: [('DecoyApache User3', 'DiscoverRemoteSystems 10.0.241.144/28'), ('Remove Op_Server0', 'DiscoverNetworkServices 10.0.241.148'), ('DecoyApache Op_Host2', 'ExploitRemoteService 10.0.241.148'), ('DecoyApache Defender', 'ExploitRemoteService 10.0.241.148'), ('Analyse User3', 'PrivilegeEscalate User3'), ('Analyse User1', 'DiscoverNetworkServices 10.0.153.233'), ('Analyse User3', 'ExploitRemoteService 10.0.153.233'), ('Remove User4', 'PrivilegeEscalate Enterprise0'), ('Analyse User3', 'DiscoverRemoteSystems 10.0.153.224/28'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.153.237'), ('Remove Defender', 'ExploitRemoteService 10.0.153.237'), ('Analyse Op_Server0', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter Op_Host2', 'DiscoverNetworkServices 10.0.136.231'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.136.231'), ('Analyse Op_Host0', 'PrivilegeEscalate Op_Server0'), ('DecoyFemitter Enterprise2', 'Impact Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0'), ('DecoyFemitter Defender', 'Impact Op_Server0'), ('Remove Op_Host1', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0'), ('DecoyApache User3', 'Impact Op_Server0'), ('DecoyFemitter Op_Host2', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('DecoyFemitter Op_Host0', 'Impact Op_Server0'), ('DecoyApache Op_Host0', 'Impact Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0'), ('DecoyApache Op_Host1', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('DecoyApache Op_Server0', 'Impact Op_Server0')], total reward: -210.69999999999993
actions: [('Analyse Defender', 'DiscoverRemoteSystems 10.0.111.192/28'), ('Analyse Op_Host2', 'DiscoverNetworkServices 10.0.111.196'), ('Remove User4', 'ExploitRemoteService 10.0.111.196'), ('DecoyFemitter Op_Host2', 'PrivilegeEscalate User4'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.126.55'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.126.55'), ('DecoyFemitter Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Analyse Op_Server0', 'DiscoverRemoteSystems 10.0.126.48/28'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.126.56'), ('DecoyFemitter User2', 'ExploitRemoteService 10.0.126.56'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('DecoyApache User3', 'ExploitRemoteService 10.0.126.56'), ('Analyse Enterprise0', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter Op_Host0', 'DiscoverNetworkServices 10.0.176.231'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.176.231'), ('Analyse Op_Host2', 'PrivilegeEscalate Op_Server0'), ('DecoyApache Op_Host0', 'Impact Op_Server0'), ('DecoyFemitter User4', 'Impact Op_Server0'), ('Remove Defender', 'Impact Op_Server0'), ('Analyse User2', 'Impact Op_Server0'), ('Analyse User3', 'Impact Op_Server0'), ('Analyse Enterprise2', 'Impact Op_Server0'), ('Analyse User1', 'Impact Op_Server0'), ('DecoyApache Defender', 'Impact Op_Server0'), ('DecoyFemitter Enterprise0', 'Impact Op_Server0'), ('Remove User3', 'Impact Op_Server0'), ('Remove Defender', 'Impact Op_Server0'), ('Remove Op_Server0', 'Impact Op_Server0'), ('DecoyApache User1', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0')], total reward: -199.79999999999995
actions: [('DecoyFemitter Op_Host1', 'DiscoverRemoteSystems 10.0.75.128/28'), ('DecoyApache Defender', 'DiscoverNetworkServices 10.0.75.141'), ('DecoyApache Enterprise2', 'ExploitRemoteService 10.0.75.141'), ('Analyse Op_Host0', 'PrivilegeEscalate User4'), ('Analyse User1', 'DiscoverNetworkServices 10.0.128.100'), ('DecoyFemitter User1', 'ExploitRemoteService 10.0.128.100'), ('Analyse User2', 'PrivilegeEscalate Enterprise0'), ('Remove Op_Server0', 'DiscoverRemoteSystems 10.0.128.96/28'), ('Remove Op_Host2', 'DiscoverNetworkServices 10.0.128.103'), ('Remove User4', 'ExploitRemoteService 10.0.128.103'), ('DecoyFemitter Op_Host0', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter User3', 'DiscoverNetworkServices 10.0.62.46'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.62.46'), ('DecoyFemitter User3', 'PrivilegeEscalate Op_Server0'), ('DecoyFemitter Defender', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('DecoyApache Op_Server0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('DecoyApache Enterprise0', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Remove User3', 'Impact Op_Server0'), ('DecoyApache Op_Host0', 'Impact Op_Server0'), ('Analyse User2', 'Impact Op_Server0'), ('DecoyFemitter User0', 'Impact Op_Server0'), ('Remove Enterprise0', 'Impact Op_Server0'), ('DecoyFemitter User0', 'Impact Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0')], total reward: -223.69999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.19.144/28'), ('DecoyApache Op_Server0', 'DiscoverNetworkServices 10.0.19.158'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.19.158'), ('DecoyApache User2', 'PrivilegeEscalate User2'), ('DecoyFemitter Enterprise0', 'DiscoverNetworkServices 10.0.213.154'), ('DecoyFemitter Op_Host2', 'ExploitRemoteService 10.0.213.154'), ('Analyse Defender', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host2', 'DiscoverRemoteSystems 10.0.213.144/28'), ('DecoyApache Defender', 'DiscoverNetworkServices 10.0.213.146'), ('Analyse User3', 'ExploitRemoteService 10.0.213.146'), ('Remove Enterprise2', 'ExploitRemoteService 10.0.213.154'), ('DecoyApache Op_Host0', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Server0', 'DiscoverRemoteSystems 10.0.213.144/28'), ('Sleep', 'DiscoverNetworkServices 10.0.213.146'), ('DecoyApache User1', 'ExploitRemoteService 10.0.213.146'), ('Remove Enterprise2', 'ExploitRemoteService 10.0.213.154'), ('Remove Op_Host0', 'PrivilegeEscalate Enterprise1'), ('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.213.144/28'), ('DecoyApache User3', 'DiscoverNetworkServices 10.0.213.146'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.213.146'), ('DecoyFemitter User3', 'ExploitRemoteService 10.0.213.154'), ('DecoyApache Defender', 'PrivilegeEscalate Enterprise1'), ('Analyse User4', 'DiscoverRemoteSystems 10.0.213.144/28'), ('Sleep', 'DiscoverNetworkServices 10.0.213.146'), ('DecoyApache User0', 'ExploitRemoteService 10.0.213.146'), ('Remove User1', 'ExploitRemoteService 10.0.213.154'), ('DecoyApache User1', 'PrivilegeEscalate Enterprise1'), ('DecoyFemitter Enterprise1', 'DiscoverRemoteSystems 10.0.213.144/28'), ('DecoyFemitter User0', 'DiscoverNetworkServices 10.0.213.146'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.213.146')], total reward: -26.80000000000001
actions: [('DecoyApache User3', 'DiscoverRemoteSystems 10.0.75.64/28'), ('Remove Op_Host1', 'DiscoverNetworkServices 10.0.75.74'), ('DecoyApache Op_Server0', 'ExploitRemoteService 10.0.75.74'), ('DecoyFemitter Op_Host1', 'PrivilegeEscalate User2'), ('Remove Op_Server0', 'DiscoverNetworkServices 10.0.42.51'), ('Analyse Defender', 'ExploitRemoteService 10.0.42.51'), ('Remove Op_Server0', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host1', 'DiscoverRemoteSystems 10.0.42.48/28'), ('Remove Op_Host2', 'DiscoverNetworkServices 10.0.42.61'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.42.61'), ('Remove User1', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter User1', 'DiscoverNetworkServices 10.0.135.44'), ('DecoyFemitter Defender', 'ExploitRemoteService 10.0.135.44'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.42.61'), ('Remove User1', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter User2', 'DiscoverNetworkServices 10.0.135.44'), ('DecoyFemitter User4', 'ExploitRemoteService 10.0.135.44'), ('DecoyFemitter User2', 'ExploitRemoteService 10.0.42.61'), ('DecoyApache User1', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter Enterprise0', 'DiscoverNetworkServices 10.0.135.44'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.135.44'), ('DecoyApache Enterprise1', 'PrivilegeEscalate Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('Remove Op_Host0', 'Impact Op_Server0'), ('Remove Enterprise0', 'Impact Op_Server0'), ('Analyse User0', 'Impact Op_Server0'), ('DecoyApache Enterprise0', 'Impact Op_Server0'), ('DecoyApache User2', 'Impact Op_Server0'), ('Remove Enterprise0', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0')], total reward: -135.7
actions: [('DecoyApache User3', 'DiscoverRemoteSystems 10.0.56.48/28'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.56.49'), ('Remove Op_Host0', 'ExploitRemoteService 10.0.56.49'), ('Remove Defender', 'PrivilegeEscalate User4'), ('DecoyApache Op_Host1', 'DiscoverNetworkServices 10.0.188.74'), ('Remove User1', 'ExploitRemoteService 10.0.188.74'), ('Analyse Op_Host2', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.188.64/28'), ('Remove Defender', 'DiscoverNetworkServices 10.0.188.75'), ('Sleep', 'ExploitRemoteService 10.0.188.75'), ('DecoyApache Enterprise2', 'ExploitRemoteService 10.0.188.74'), ('DecoyApache Enterprise2', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.188.64/28'), ('Remove Enterprise0', 'DiscoverNetworkServices 10.0.188.75'), ('Remove Enterprise2', 'ExploitRemoteService 10.0.188.75'), ('DecoyApache Enterprise2', 'ExploitRemoteService 10.0.188.74'), ('DecoyApache User2', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter User0', 'DiscoverRemoteSystems 10.0.188.64/28'), ('DecoyApache User3', 'DiscoverNetworkServices 10.0.188.75'), ('DecoyApache User3', 'ExploitRemoteService 10.0.188.75'), ('Analyse Defender', 'ExploitRemoteService 10.0.188.74'), ('DecoyFemitter User0', 'PrivilegeEscalate Enterprise0'), ('Analyse Enterprise1', 'DiscoverRemoteSystems 10.0.188.64/28'), ('Remove User1', 'DiscoverNetworkServices 10.0.188.75'), ('Analyse User1', 'ExploitRemoteService 10.0.188.75'), ('DecoyApache Enterprise2', 'ExploitRemoteService 10.0.188.74'), ('Remove User2', 'PrivilegeEscalate Enterprise0'), ('Analyse Op_Server0', 'DiscoverRemoteSystems 10.0.188.64/28'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.188.75'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.188.75')], total reward: -26.80000000000001
actions: [('Analyse Op_Host1', 'DiscoverRemoteSystems 10.0.159.224/28'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.159.229'), ('Analyse User2', 'ExploitRemoteService 10.0.159.229'), ('Remove User4', 'PrivilegeEscalate User1'), ('DecoyApache Defender', 'DiscoverNetworkServices 10.0.203.180'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.203.180'), ('DecoyApache Op_Server0', 'PrivilegeEscalate Enterprise1'), ('Analyse Enterprise0', 'DiscoverRemoteSystems 10.0.203.176/28'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.203.189'), ('DecoyFemitter Op_Server0', 'ExploitRemoteService 10.0.203.189'), ('Remove User3', 'ExploitRemoteService 10.0.203.180'), ('Remove User4', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Server0', 'DiscoverRemoteSystems 10.0.203.176/28'), ('Remove Enterprise2', 'DiscoverNetworkServices 10.0.203.189'), ('Remove Op_Host0', 'ExploitRemoteService 10.0.203.189'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.203.180'), ('Monitor', 'PrivilegeEscalate Enterprise1'), ('Analyse User4', 'DiscoverRemoteSystems 10.0.203.176/28'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.203.189'), ('DecoyFemitter User4', 'ExploitRemoteService 10.0.203.189'), ('DecoyApache User1', 'ExploitRemoteService 10.0.203.180'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('DecoyFemitter Op_Host1', 'DiscoverRemoteSystems 10.0.203.176/28'), ('DecoyFemitter User0', 'DiscoverNetworkServices 10.0.203.189'), ('DecoyApache Defender', 'ExploitRemoteService 10.0.203.189'), ('Remove User2', 'ExploitRemoteService 10.0.203.180'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate Enterprise1'), ('DecoyFemitter Enterprise0', 'DiscoverRemoteSystems 10.0.203.176/28'), ('DecoyApache User1', 'DiscoverNetworkServices 10.0.203.189'), ('DecoyApache User1', 'ExploitRemoteService 10.0.203.189')], total reward: -26.70000000000001
actions: [('Remove User3', 'DiscoverRemoteSystems 10.0.195.112/28'), ('DecoyApache Op_Host0', 'DiscoverNetworkServices 10.0.195.116'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.195.116'), ('Remove User3', 'PrivilegeEscalate User4'), ('DecoyFemitter User4', 'DiscoverNetworkServices 10.0.169.78'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.169.78'), ('DecoyFemitter User3', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter Op_Server0', 'DiscoverRemoteSystems 10.0.169.64/28'), ('DecoyApache User2', 'DiscoverNetworkServices 10.0.169.71'), ('Analyse User1', 'ExploitRemoteService 10.0.169.71'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise2'), ('Remove User3', 'DiscoverNetworkServices 10.0.26.129'), ('DecoyApache Op_Server0', 'ExploitRemoteService 10.0.26.129'), ('Remove Defender', 'PrivilegeEscalate Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('Analyse User1', 'Impact Op_Server0'), ('DecoyApache Op_Host1', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0'), ('Remove Op_Server0', 'Impact Op_Server0'), ('DecoyApache Enterprise2', 'Impact Op_Server0'), ('DecoyApache Enterprise1', 'Impact Op_Server0'), ('Analyse Enterprise2', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('Remove User4', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('DecoyFemitter User3', 'Impact Op_Server0'), ('DecoyApache Enterprise0', 'Impact Op_Server0'), ('DecoyFemitter Op_Server0', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('DecoyFemitter Enterprise0', 'DiscoverRemoteSystems 10.0.40.128/28'), ('Analyse Defender', 'DiscoverNetworkServices 10.0.40.138'), ('Remove User3', 'ExploitRemoteService 10.0.40.138'), ('DecoyFemitter Op_Server0', 'PrivilegeEscalate User2'), ('Remove User0', 'DiscoverNetworkServices 10.0.126.232'), ('DecoyApache Op_Host2', 'ExploitRemoteService 10.0.126.232'), ('Sleep', 'PrivilegeEscalate Enterprise1'), ('Analyse Enterprise1', 'DiscoverRemoteSystems 10.0.126.224/28'), ('Remove Op_Host2', 'DiscoverNetworkServices 10.0.126.236'), ('DecoyApache User2', 'ExploitRemoteService 10.0.126.236'), ('DecoyApache Op_Host0', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.204.236'), ('DecoyApache User2', 'ExploitRemoteService 10.0.204.236'), ('DecoyFemitter User4', 'PrivilegeEscalate Op_Server0'), ('DecoyApache Enterprise1', 'Impact Op_Server0'), ('Remove Defender', 'Impact Op_Server0'), ('DecoyApache User3', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('DecoyFemitter Defender', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise2', 'Impact Op_Server0'), ('DecoyApache Enterprise1', 'Impact Op_Server0'), ('DecoyFemitter User4', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('DecoyFemitter User4', 'Impact Op_Server0'), ('Remove User3', 'Impact Op_Server0'), ('DecoyApache Op_Host1', 'Impact Op_Server0'), ('DecoyFemitter Enterprise2', 'Impact Op_Server0'), ('DecoyFemitter Op_Server0', 'Impact Op_Server0'), ('Remove User4', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('DecoyApache Op_Host2', 'DiscoverRemoteSystems 10.0.91.240/28'), ('DecoyFemitter Enterprise2', 'DiscoverNetworkServices 10.0.91.253'), ('DecoyFemitter User2', 'ExploitRemoteService 10.0.91.253'), ('Remove Defender', 'PrivilegeEscalate User3'), ('DecoyApache User3', 'DiscoverNetworkServices 10.0.59.114'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.59.114'), ('Remove Defender', 'PrivilegeEscalate Enterprise0'), ('Remove Enterprise1', 'DiscoverRemoteSystems 10.0.59.112/28'), ('DecoyFemitter Op_Host2', 'DiscoverNetworkServices 10.0.59.115'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.59.115'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.59.114'), ('Analyse User2', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter Enterprise0', 'DiscoverRemoteSystems 10.0.59.112/28'), ('DecoyApache User4', 'DiscoverNetworkServices 10.0.59.115'), ('Remove Enterprise2', 'ExploitRemoteService 10.0.59.115'), ('DecoyApache Enterprise0', 'ExploitRemoteService 10.0.59.114'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise0'), ('DecoyApache User1', 'DiscoverRemoteSystems 10.0.59.112/28'), ('DecoyFemitter Op_Host2', 'DiscoverNetworkServices 10.0.59.115'), ('Remove User0', 'ExploitRemoteService 10.0.59.115'), ('DecoyApache User0', 'ExploitRemoteService 10.0.59.114'), ('Remove Op_Server0', 'PrivilegeEscalate Enterprise0'), ('Remove Op_Server0', 'DiscoverRemoteSystems 10.0.59.112/28'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.59.115'), ('DecoyApache User1', 'ExploitRemoteService 10.0.59.115'), ('DecoyApache Op_Server0', 'ExploitRemoteService 10.0.59.114'), ('Analyse Op_Host2', 'PrivilegeEscalate Enterprise0'), ('Remove User4', 'DiscoverRemoteSystems 10.0.59.112/28'), ('DecoyApache Enterprise2', 'DiscoverNetworkServices 10.0.59.115'), ('Analyse User1', 'ExploitRemoteService 10.0.59.115')], total reward: -26.80000000000001
