CybORG v2.1, Scenario2, Commit Hash: 7c95856cff329e902d98674a05b87800003f2f3f
author: test, team: test, technique: test
wrappers: ChallengeWrapper(env=env, agent_name='Blue')
steps: 30, adversary: B_lineAgent, mean: -172.39799999999994, standard deviation 74.27691020700165
actions: [('DecoyFemitter User2', 'DiscoverRemoteSystems 10.0.110.192/28'), ('DecoyApache User4', 'DiscoverNetworkServices 10.0.110.197'), ('Analyse User0', 'ExploitRemoteService 10.0.110.197'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User3'), ('Analyse User2', 'DiscoverNetworkServices 10.0.9.10'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.9.10'), ('Analyse Op_Host0', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter Enterprise1', 'DiscoverRemoteSystems 10.0.9.0/28'), ('DecoyApache User3', 'DiscoverNetworkServices 10.0.9.4'), ('Analyse Defender', 'ExploitRemoteService 10.0.9.4'), ('Remove User3', 'PrivilegeEscalate Enterprise2'), ('Analyse Defender', 'DiscoverNetworkServices 10.0.139.252'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.139.252'), ('Remove User3', 'ExploitRemoteService 10.0.9.4'), ('Analyse Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse User1', 'DiscoverNetworkServices 10.0.139.252'), ('Remove User2', 'ExploitRemoteService 10.0.139.252'), ('DecoyApache Op_Host2', 'PrivilegeEscalate Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('Analyse User0', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Analyse User1', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('DecoyApache User2', 'Impact Op_Server0'), ('DecoyFemitter User2', 'Impact Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('DecoyApache User1', 'Impact Op_Server0'), ('DecoyFemitter User2', 'Impact Op_Server0'), ('Analyse User3', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0')], total reward: -179.69999999999996
actions: [('Analyse Enterprise1', 'DiscoverRemoteSystems 10.0.86.224/28'), ('DecoyFemitter Enterprise2', 'DiscoverNetworkServices 10.0.86.238'), ('Remove User3', 'ExploitRemoteService 10.0.86.238'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User3'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.241.8'), ('DecoyFemitter Op_Server0', 'ExploitRemoteService 10.0.241.8'), ('DecoyFemitter User0', 'PrivilegeEscalate Enterprise0'), ('Remove Defender', 'DiscoverRemoteSystems 10.0.241.0/28'), ('DecoyApache Enterprise0', 'DiscoverNetworkServices 10.0.241.6'), ('Analyse User1', 'ExploitRemoteService 10.0.241.6'), ('DecoyApache Enterprise0', 'ExploitRemoteService 10.0.241.8'), ('DecoyFemitter Op_Server0', 'PrivilegeEscalate Enterprise0'), ('Analyse Enterprise1', 'DiscoverRemoteSystems 10.0.241.0/28'), ('DecoyApache User2', 'DiscoverNetworkServices 10.0.241.6'), ('Analyse User3', 'ExploitRemoteService 10.0.241.6'), ('DecoyApache Enterprise2', 'ExploitRemoteService 10.0.241.8'), ('DecoyApache Op_Server0', 'PrivilegeEscalate Enterprise0'), ('Analyse User4', 'DiscoverRemoteSystems 10.0.241.0/28'), ('DecoyFemitter Enterprise0', 'DiscoverNetworkServices 10.0.241.6'), ('DecoyApache Op_Host0', 'ExploitRemoteService 10.0.241.6'), ('DecoyFemitter Defender', 'ExploitRemoteService 10.0.241.8'), ('DecoyApache Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove Enterprise1', 'DiscoverRemoteSystems 10.0.241.0/28'), ('DecoyApache Enterprise1', 'DiscoverNetworkServices 10.0.241.6'), ('Monitor', 'ExploitRemoteService 10.0.241.6'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.241.8'), ('DecoyApache User2', 'PrivilegeEscalate Enterprise0'), ('Remove User4', 'DiscoverRemoteSystems 10.0.241.0/28'), ('DecoyFemitter Enterprise0', 'DiscoverNetworkServices 10.0.241.6'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.241.6')], total reward: -26.80000000000001
actions: [('DecoyApache Enterprise1', 'DiscoverRemoteSystems 10.0.9.128/28'), ('Remove User3', 'DiscoverNetworkServices 10.0.9.138'), ('Remove Enterprise0', 'ExploitRemoteService 10.0.9.138'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User3'), ('DecoyApache User3', 'DiscoverNetworkServices 10.0.232.6'), ('DecoyApache User1', 'ExploitRemoteService 10.0.232.6'), ('DecoyApache Op_Host1', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter Defender', 'DiscoverRemoteSystems 10.0.232.0/28'), ('DecoyFemitter User0', 'DiscoverNetworkServices 10.0.232.12'), ('Remove User2', 'ExploitRemoteService 10.0.232.12'), ('DecoyApache Op_Host1', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter Op_Host1', 'DiscoverNetworkServices 10.0.185.214'), ('DecoyFemitter User2', 'ExploitRemoteService 10.0.185.214'), ('Remove Op_Host0', 'ExploitRemoteService 10.0.232.12'), ('DecoyApache Enterprise1', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter User0', 'DiscoverNetworkServices 10.0.185.214'), ('Remove User3', 'ExploitRemoteService 10.0.185.214'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.232.12'), ('DecoyApache User3', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter Op_Server0', 'DiscoverNetworkServices 10.0.185.214'), ('Analyse User2', 'ExploitRemoteService 10.0.185.214'), ('Analyse Defender', 'ExploitRemoteService 10.0.232.12'), ('DecoyApache Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Host2', 'DiscoverNetworkServices 10.0.185.214'), ('Remove User2', 'ExploitRemoteService 10.0.185.214'), ('DecoyFemitter User0', 'ExploitRemoteService 10.0.232.12'), ('Analyse User3', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.185.214'), ('DecoyFemitter User0', 'ExploitRemoteService 10.0.185.214'), ('Analyse User2', 'ExploitRemoteService 10.0.232.12')], total reward: -46.80000000000002
actions: [('Analyse User0', 'DiscoverRemoteSystems 10.0.226.96/28'), ('DecoyApache Enterprise0', 'DiscoverNetworkServices 10.0.226.102'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.226.102'), ('Analyse Op_Server0', 'PrivilegeEscalate User2'), ('DecoyApache User4', 'DiscoverNetworkServices 10.0.198.17'), ('DecoyApache User1', 'ExploitRemoteService 10.0.198.17'), ('Remove Op_Host1', 'PrivilegeEscalate Enterprise1'), ('Analyse User1', 'DiscoverRemoteSystems 10.0.198.16/28'), ('Remove User4', 'DiscoverNetworkServices 10.0.198.26'), ('DecoyApache Defender', 'ExploitRemoteService 10.0.198.26'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate Enterprise2'), ('DecoyApache User1', 'DiscoverNetworkServices 10.0.167.202'), ('DecoyApache Enterprise0', 'ExploitRemoteService 10.0.167.202'), ('DecoyApache Defender', 'PrivilegeEscalate Op_Server0'), ('DecoyFemitter Defender', 'Impact Op_Server0'), ('Remove Enterprise0', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('DecoyApache User0', 'Impact Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('Analyse Enterprise2', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('DecoyFemitter Op_Server0', 'Impact Op_Server0'), ('DecoyFemitter Enterprise1', 'Impact Op_Server0'), ('Analyse User4', 'Impact Op_Server0'), ('Remove Op_Host1', 'Impact Op_Server0'), ('Analyse User0', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0'), ('Remove Op_Server0', 'Impact Op_Server0'), ('DecoyFemitter Enterprise2', 'Impact Op_Server0'), ('DecoyFemitter Op_Host2', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('DecoyApache Op_Host1', 'DiscoverRemoteSystems 10.0.129.160/28'), ('DecoyApache Op_Host2', 'DiscoverNetworkServices 10.0.129.166'), ('DecoyApache User3', 'ExploitRemoteService 10.0.129.166'), ('Remove Op_Host0', 'PrivilegeEscalate User2'), ('DecoyFemitter User1', 'DiscoverNetworkServices 10.0.54.103'), ('Analyse User2', 'ExploitRemoteService 10.0.54.103'), ('Analyse User4', 'PrivilegeEscalate Enterprise1'), ('DecoyApache User1', 'DiscoverRemoteSystems 10.0.54.96/28'), ('DecoyApache Op_Server0', 'DiscoverNetworkServices 10.0.54.109'), ('DecoyFemitter User3', 'ExploitRemoteService 10.0.54.109'), ('DecoyFemitter Op_Host1', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter User1', 'DiscoverNetworkServices 10.0.190.101'), ('Remove User0', 'ExploitRemoteService 10.0.190.101'), ('DecoyFemitter Op_Server0', 'PrivilegeEscalate Op_Server0'), ('DecoyFemitter Op_Host2', 'Impact Op_Server0'), ('Analyse User1', 'Impact Op_Server0'), ('DecoyApache User1', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('Remove Op_Host0', 'Impact Op_Server0'), ('DecoyFemitter Enterprise2', 'Impact Op_Server0'), ('DecoyFemitter Op_Host2', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('DecoyApache User4', 'Impact Op_Server0'), ('Analyse User1', 'Impact Op_Server0'), ('DecoyApache User4', 'Impact Op_Server0'), ('DecoyApache User3', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Analyse User4', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('DecoyApache Op_Host1', 'DiscoverRemoteSystems 10.0.21.80/28'), ('Remove Op_Host1', 'DiscoverNetworkServices 10.0.21.94'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.21.94'), ('Analyse Op_Server0', 'PrivilegeEscalate User2'), ('Analyse User3', 'DiscoverNetworkServices 10.0.42.125'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.42.125'), ('DecoyApache User4', 'PrivilegeEscalate Enterprise1'), ('DecoyApache Op_Host0', 'DiscoverRemoteSystems 10.0.42.112/28'), ('Remove User4', 'DiscoverNetworkServices 10.0.42.113'), ('DecoyApache User4', 'ExploitRemoteService 10.0.42.113'), ('DecoyApache User1', 'PrivilegeEscalate Enterprise2'), ('Analyse Defender', 'DiscoverNetworkServices 10.0.94.113'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.94.113'), ('DecoyFemitter User3', 'PrivilegeEscalate Op_Server0'), ('DecoyFemitter Op_Host1', 'Impact Op_Server0'), ('DecoyFemitter Op_Host1', 'Impact Op_Server0'), ('Remove User3', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0'), ('DecoyFemitter User0', 'Impact Op_Server0'), ('Analyse User0', 'Impact Op_Server0'), ('DecoyFemitter User0', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('DecoyFemitter Defender', 'Impact Op_Server0'), ('DecoyApache Enterprise1', 'Impact Op_Server0'), ('DecoyApache Defender', 'Impact Op_Server0'), ('Analyse Enterprise2', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0'), ('DecoyApache User4', 'Impact Op_Server0'), ('Analyse Enterprise2', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Remove Enterprise1', 'DiscoverRemoteSystems 10.0.250.128/28'), ('Remove Op_Host2', 'DiscoverNetworkServices 10.0.250.133'), ('DecoyFemitter User2', 'ExploitRemoteService 10.0.250.133'), ('Remove Op_Server0', 'PrivilegeEscalate User1'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.135.122'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.135.122'), ('Analyse User1', 'PrivilegeEscalate Enterprise1'), ('Remove Enterprise1', 'DiscoverRemoteSystems 10.0.135.112/28'), ('DecoyApache Op_Host1', 'DiscoverNetworkServices 10.0.135.113'), ('Remove Enterprise0', 'ExploitRemoteService 10.0.135.113'), ('Analyse Defender', 'PrivilegeEscalate Enterprise2'), ('Analyse User3', 'DiscoverNetworkServices 10.0.245.12'), ('DecoyFemitter Defender', 'ExploitRemoteService 10.0.245.12'), ('DecoyFemitter Op_Server0', 'PrivilegeEscalate Op_Server0'), ('Remove Enterprise0', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0'), ('DecoyFemitter Op_Host0', 'Impact Op_Server0'), ('DecoyFemitter Enterprise1', 'Impact Op_Server0'), ('Analyse User4', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Remove User4', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Analyse User2', 'Impact Op_Server0'), ('DecoyApache Op_Host1', 'Impact Op_Server0'), ('DecoyFemitter User2', 'Impact Op_Server0')], total reward: -223.69999999999993
actions: [('DecoyFemitter User2', 'DiscoverRemoteSystems 10.0.191.96/28'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.191.104'), ('Sleep', 'ExploitRemoteService 10.0.191.104'), ('DecoyFemitter User4', 'PrivilegeEscalate User3'), ('Analyse User1', 'DiscoverNetworkServices 10.0.13.243'), ('DecoyFemitter User2', 'ExploitRemoteService 10.0.13.243'), ('Analyse Enterprise1', 'PrivilegeEscalate Enterprise0'), ('Remove User0', 'DiscoverRemoteSystems 10.0.13.240/28'), ('DecoyApache User3', 'DiscoverNetworkServices 10.0.13.250'), ('DecoyApache User1', 'ExploitRemoteService 10.0.13.250'), ('Analyse User1', 'PrivilegeEscalate Enterprise2'), ('DecoyApache Enterprise0', 'DiscoverNetworkServices 10.0.32.40'), ('Remove User1', 'ExploitRemoteService 10.0.32.40'), ('Remove Enterprise2', 'PrivilegeEscalate Op_Server0'), ('DecoyFemitter User2', 'Impact Op_Server0'), ('DecoyApache Op_Server0', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('DecoyFemitter Enterprise2', 'Impact Op_Server0'), ('DecoyApache Op_Server0', 'Impact Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('Remove Op_Server0', 'Impact Op_Server0'), ('Remove Enterprise0', 'Impact Op_Server0'), ('DecoyApache Enterprise2', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('Remove Op_Host0', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('DecoyFemitter User4', 'DiscoverRemoteSystems 10.0.157.208/28'), ('DecoyFemitter Enterprise2', 'DiscoverNetworkServices 10.0.157.217'), ('Remove Defender', 'ExploitRemoteService 10.0.157.217'), ('Analyse Enterprise2', 'PrivilegeEscalate User4'), ('DecoyApache Op_Host2', 'DiscoverNetworkServices 10.0.36.130'), ('Remove User2', 'ExploitRemoteService 10.0.36.130'), ('Analyse Op_Host2', 'PrivilegeEscalate Enterprise0'), ('Analyse Enterprise2', 'DiscoverRemoteSystems 10.0.36.128/28'), ('DecoyFemitter User4', 'DiscoverNetworkServices 10.0.36.129'), ('Remove User4', 'ExploitRemoteService 10.0.36.129'), ('DecoyFemitter Op_Server0', 'ExploitRemoteService 10.0.36.130'), ('Analyse User4', 'PrivilegeEscalate Enterprise0'), ('DecoyApache Enterprise1', 'DiscoverRemoteSystems 10.0.36.128/28'), ('Remove User0', 'DiscoverNetworkServices 10.0.36.129'), ('DecoyFemitter Op_Host2', 'ExploitRemoteService 10.0.36.129'), ('DecoyFemitter Defender', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.146.142'), ('DecoyFemitter Enterprise0', 'ExploitRemoteService 10.0.146.142'), ('DecoyFemitter Defender', 'PrivilegeEscalate Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0'), ('DecoyApache User4', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Remove Enterprise0', 'Impact Op_Server0'), ('Remove Op_Server0', 'Impact Op_Server0'), ('DecoyFemitter Enterprise0', 'Impact Op_Server0'), ('DecoyApache Op_Server0', 'Impact Op_Server0'), ('Analyse User2', 'Impact Op_Server0'), ('Analyse User0', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0'), ('DecoyApache Defender', 'Impact Op_Server0')], total reward: -163.79999999999995
actions: [('DecoyApache User2', 'DiscoverRemoteSystems 10.0.13.128/28'), ('DecoyApache Defender', 'DiscoverNetworkServices 10.0.13.137'), ('DecoyApache Op_Host0', 'ExploitRemoteService 10.0.13.137'), ('DecoyFemitter Enterprise0', 'PrivilegeEscalate User1'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.240.238'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.240.238'), ('DecoyApache Enterprise2', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Server0', 'DiscoverRemoteSystems 10.0.240.224/28'), ('DecoyApache User2', 'DiscoverNetworkServices 10.0.240.232'), ('DecoyApache User4', 'ExploitRemoteService 10.0.240.232'), ('Remove User3', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter User2', 'DiscoverNetworkServices 10.0.237.194'), ('DecoyFemitter Op_Server0', 'ExploitRemoteService 10.0.237.194'), ('DecoyFemitter Enterprise2', 'PrivilegeEscalate Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('DecoyApache User1', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('DecoyApache Op_Host1', 'Impact Op_Server0'), ('DecoyApache User2', 'Impact Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0'), ('DecoyFemitter Enterprise1', 'Impact Op_Server0'), ('DecoyFemitter Op_Host1', 'Impact Op_Server0'), ('DecoyFemitter User0', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('DecoyFemitter Op_Server0', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('Remove Op_Host0', 'Impact Op_Server0'), ('Analyse User4', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('DecoyApache Enterprise2', 'DiscoverRemoteSystems 10.0.246.0/28'), ('DecoyApache User1', 'DiscoverNetworkServices 10.0.246.13'), ('DecoyApache User3', 'ExploitRemoteService 10.0.246.13'), ('Analyse Enterprise0', 'PrivilegeEscalate User4'), ('DecoyFemitter User4', 'DiscoverNetworkServices 10.0.100.10'), ('Analyse Op_Server0', 'ExploitRemoteService 10.0.100.10'), ('Analyse Op_Host2', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter Op_Host2', 'DiscoverRemoteSystems 10.0.100.0/28'), ('DecoyApache Op_Host1', 'DiscoverNetworkServices 10.0.100.14'), ('DecoyApache Op_Host2', 'ExploitRemoteService 10.0.100.14'), ('DecoyFemitter Op_Host1', 'PrivilegeEscalate Enterprise2'), ('DecoyApache Enterprise0', 'DiscoverNetworkServices 10.0.202.136'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.202.136'), ('Remove User1', 'PrivilegeEscalate Op_Server0'), ('Remove User3', 'Impact Op_Server0'), ('Analyse User4', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('Remove Enterprise0', 'Impact Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('DecoyFemitter User0', 'Impact Op_Server0'), ('DecoyApache Defender', 'Impact Op_Server0'), ('DecoyApache Enterprise0', 'Impact Op_Server0'), ('Analyse User3', 'Impact Op_Server0'), ('Remove User3', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('DecoyFemitter Op_Host0', 'Impact Op_Server0'), ('DecoyApache User2', 'Impact Op_Server0'), ('DecoyApache User0', 'Impact Op_Server0')], total reward: -223.79999999999993
