CybORG v2.1, Scenario2, Commit Hash: 7c95856cff329e902d98674a05b87800003f2f3f
author: test, team: test, technique: test
wrappers: ChallengeWrapper(env=env, agent_name='Blue')
steps: 30, adversary: B_lineAgent, mean: -163.97899999999996, standard deviation 78.71919316613494
actions: [('Analyse Defender', 'DiscoverRemoteSystems 10.0.90.160/28'), ('DecoyFemitter User3', 'DiscoverNetworkServices 10.0.90.166'), ('DecoyFemitter Op_Server0', 'ExploitRemoteService 10.0.90.166'), ('Remove User3', 'PrivilegeEscalate User4'), ('DecoyFemitter Defender', 'DiscoverNetworkServices 10.0.96.164'), ('DecoyApache Defender', 'ExploitRemoteService 10.0.96.164'), ('DecoyApache Op_Host1', 'PrivilegeEscalate Enterprise0'), ('Analyse Enterprise2', 'DiscoverRemoteSystems 10.0.96.160/28'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.96.173'), ('DecoyApache User2', 'ExploitRemoteService 10.0.96.173'), ('Remove Op_Host0', 'PrivilegeEscalate Enterprise2'), ('Analyse User4', 'DiscoverNetworkServices 10.0.84.242'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.84.242'), ('Remove Enterprise1', 'PrivilegeEscalate Op_Server0'), ('Remove Op_Server0', 'Impact Op_Server0'), ('Analyse User3', 'Impact Op_Server0'), ('Remove Op_Server0', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0'), ('Remove Op_Host1', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('DecoyFemitter Op_Host2', 'Impact Op_Server0'), ('DecoyFemitter Op_Host2', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0'), ('DecoyFemitter User2', 'Impact Op_Server0'), ('DecoyApache Enterprise2', 'Impact Op_Server0'), ('DecoyApache User3', 'Impact Op_Server0'), ('DecoyApache Op_Server0', 'Impact Op_Server0'), ('DecoyApache Op_Host0', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('DecoyFemitter User2', 'DiscoverRemoteSystems 10.0.50.224/28'), ('DecoyFemitter Defender', 'DiscoverNetworkServices 10.0.50.236'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.50.236'), ('DecoyApache Defender', 'PrivilegeEscalate User1'), ('DecoyApache User1', 'DiscoverNetworkServices 10.0.242.119'), ('Remove User3', 'ExploitRemoteService 10.0.242.119'), ('Analyse Enterprise0', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host0', 'DiscoverRemoteSystems 10.0.242.112/28'), ('DecoyFemitter User3', 'DiscoverNetworkServices 10.0.242.123'), ('Remove Defender', 'ExploitRemoteService 10.0.242.123'), ('DecoyApache Enterprise1', 'PrivilegeEscalate Enterprise2'), ('DecoyApache Op_Server0', 'DiscoverNetworkServices 10.0.239.250'), ('DecoyFemitter User3', 'ExploitRemoteService 10.0.239.250'), ('DecoyApache User1', 'PrivilegeEscalate Op_Server0'), ('DecoyFemitter Defender', 'Impact Op_Server0'), ('DecoyApache Op_Server0', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('DecoyApache Enterprise2', 'Impact Op_Server0'), ('Remove Op_Host0', 'Impact Op_Server0'), ('DecoyApache Op_Host1', 'Impact Op_Server0'), ('Analyse User2', 'Impact Op_Server0'), ('Analyse User3', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('DecoyApache Op_Host0', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('DecoyFemitter User0', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('DecoyFemitter User0', 'Impact Op_Server0'), ('Analyse User4', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0')], total reward: -224.79999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.42.64/28'), ('DecoyFemitter Op_Server0', 'DiscoverNetworkServices 10.0.42.66'), ('Analyse Defender', 'ExploitRemoteService 10.0.42.66'), ('Analyse User1', 'PrivilegeEscalate User1'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.208.56'), ('DecoyFemitter Op_Host2', 'ExploitRemoteService 10.0.208.56'), ('Monitor', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host0', 'DiscoverRemoteSystems 10.0.208.48/28'), ('Analyse User1', 'DiscoverNetworkServices 10.0.208.52'), ('DecoyFemitter Op_Host0', 'ExploitRemoteService 10.0.208.52'), ('DecoyApache Defender', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Host2', 'DiscoverNetworkServices 10.0.174.38'), ('Remove User1', 'ExploitRemoteService 10.0.174.38'), ('DecoyFemitter User2', 'PrivilegeEscalate Op_Server0'), ('DecoyApache Enterprise1', 'Impact Op_Server0'), ('Remove User4', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('DecoyApache User4', 'Impact Op_Server0'), ('Analyse User0', 'Impact Op_Server0'), ('DecoyFemitter User4', 'Impact Op_Server0'), ('Analyse User2', 'Impact Op_Server0'), ('DecoyApache User1', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('DecoyApache Op_Host0', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('DecoyFemitter Defender', 'Impact Op_Server0'), ('DecoyFemitter Enterprise1', 'Impact Op_Server0')], total reward: -223.69999999999993
actions: [('DecoyFemitter User4', 'DiscoverRemoteSystems 10.0.86.32/28'), ('Remove Op_Host2', 'DiscoverNetworkServices 10.0.86.43'), ('Analyse Defender', 'ExploitRemoteService 10.0.86.43'), ('Analyse Op_Server0', 'PrivilegeEscalate User1'), ('DecoyApache Op_Host0', 'DiscoverNetworkServices 10.0.123.153'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.123.153'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.86.43'), ('DecoyApache Enterprise2', 'PrivilegeEscalate User1'), ('DecoyFemitter User1', 'DiscoverNetworkServices 10.0.123.153'), ('Monitor', 'ExploitRemoteService 10.0.123.153'), ('Analyse User0', 'PrivilegeEscalate Enterprise1'), ('Remove User3', 'DiscoverRemoteSystems 10.0.123.144/28'), ('DecoyFemitter User1', 'DiscoverNetworkServices 10.0.123.145'), ('DecoyApache Enterprise1', 'ExploitRemoteService 10.0.123.145'), ('DecoyApache Defender', 'PrivilegeEscalate Enterprise2'), ('DecoyApache Defender', 'DiscoverNetworkServices 10.0.77.170'), ('DecoyApache User3', 'ExploitRemoteService 10.0.77.170'), ('Analyse Op_Server0', 'PrivilegeEscalate Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0'), ('DecoyApache Enterprise1', 'Impact Op_Server0'), ('Remove Enterprise0', 'Impact Op_Server0'), ('Remove User3', 'Impact Op_Server0'), ('DecoyApache User2', 'Impact Op_Server0'), ('DecoyApache Op_Host1', 'Impact Op_Server0'), ('DecoyApache Enterprise2', 'Impact Op_Server0'), ('Remove Op_Host2', 'Impact Op_Server0'), ('DecoyApache User4', 'Impact Op_Server0')], total reward: -171.79999999999995
actions: [('Remove User3', 'DiscoverRemoteSystems 10.0.199.176/28'), ('Analyse User4', 'DiscoverNetworkServices 10.0.199.181'), ('Remove Defender', 'ExploitRemoteService 10.0.199.181'), ('DecoyFemitter Enterprise2', 'PrivilegeEscalate User1'), ('DecoyFemitter User0', 'DiscoverNetworkServices 10.0.61.251'), ('DecoyApache Op_Host2', 'ExploitRemoteService 10.0.61.251'), ('Remove Op_Host0', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'DiscoverRemoteSystems 10.0.61.240/28'), ('DecoyApache Op_Server0', 'DiscoverNetworkServices 10.0.61.243'), ('Analyse User3', 'ExploitRemoteService 10.0.61.243'), ('DecoyFemitter User2', 'ExploitRemoteService 10.0.61.251'), ('Analyse User2', 'ExploitRemoteService 10.0.199.181'), ('Remove Op_Host2', 'PrivilegeEscalate User1'), ('DecoyFemitter User2', 'DiscoverNetworkServices 10.0.61.251'), ('Sleep', 'ExploitRemoteService 10.0.61.251'), ('DecoyApache Enterprise2', 'PrivilegeEscalate Enterprise1'), ('Analyse User1', 'DiscoverRemoteSystems 10.0.61.240/28'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.61.243'), ('Remove Enterprise2', 'ExploitRemoteService 10.0.61.243'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.61.251'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove Enterprise0', 'DiscoverRemoteSystems 10.0.61.240/28'), ('Remove Enterprise0', 'DiscoverNetworkServices 10.0.61.243'), ('Analyse User3', 'ExploitRemoteService 10.0.61.243'), ('Remove User2', 'ExploitRemoteService 10.0.61.251'), ('DecoyApache User0', 'PrivilegeEscalate Enterprise1'), ('DecoyFemitter Enterprise1', 'DiscoverRemoteSystems 10.0.61.240/28'), ('DecoyFemitter Op_Server0', 'DiscoverNetworkServices 10.0.61.243'), ('Analyse User4', 'ExploitRemoteService 10.0.61.243'), ('DecoyApache Op_Server0', 'ExploitRemoteService 10.0.61.251')], total reward: -26.80000000000001
actions: [('Remove Op_Host2', 'DiscoverRemoteSystems 10.0.34.224/28'), ('Analyse User2', 'DiscoverNetworkServices 10.0.34.225'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.34.225'), ('DecoyFemitter User1', 'PrivilegeEscalate User3'), ('Analyse User4', 'DiscoverNetworkServices 10.0.56.92'), ('DecoyFemitter User2', 'ExploitRemoteService 10.0.56.92'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate Enterprise0'), ('DecoyApache Op_Host2', 'DiscoverRemoteSystems 10.0.56.80/28'), ('DecoyFemitter User2', 'DiscoverNetworkServices 10.0.56.90'), ('Remove User2', 'ExploitRemoteService 10.0.56.90'), ('Remove Enterprise0', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter User3', 'DiscoverNetworkServices 10.0.29.25'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.29.25'), ('Analyse Enterprise1', 'PrivilegeEscalate Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('DecoyFemitter Enterprise0', 'Impact Op_Server0'), ('DecoyApache Op_Server0', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0'), ('DecoyFemitter Op_Host2', 'Impact Op_Server0'), ('Analyse User1', 'Impact Op_Server0'), ('DecoyFemitter Enterprise1', 'Impact Op_Server0'), ('DecoyApache User3', 'Impact Op_Server0'), ('Remove Enterprise0', 'Impact Op_Server0'), ('Analyse Enterprise2', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Remove Op_Server0', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('DecoyApache Op_Host2', 'DiscoverRemoteSystems 10.0.245.112/28'), ('DecoyApache Op_Host2', 'DiscoverNetworkServices 10.0.245.113'), ('DecoyApache User3', 'ExploitRemoteService 10.0.245.113'), ('Analyse User2', 'PrivilegeEscalate User3'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.221.41'), ('DecoyApache User2', 'ExploitRemoteService 10.0.221.41'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise0'), ('Remove Enterprise1', 'DiscoverRemoteSystems 10.0.221.32/28'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.221.38'), ('DecoyFemitter User0', 'ExploitRemoteService 10.0.221.38'), ('DecoyFemitter Op_Host2', 'PrivilegeEscalate Enterprise2'), ('Sleep', 'DiscoverNetworkServices 10.0.16.91'), ('Remove User2', 'ExploitRemoteService 10.0.16.91'), ('Remove Defender', 'PrivilegeEscalate Op_Server0'), ('DecoyApache Enterprise2', 'Impact Op_Server0'), ('DecoyApache Op_Host1', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0'), ('Remove User3', 'Impact Op_Server0'), ('DecoyApache User1', 'Impact Op_Server0'), ('DecoyFemitter User4', 'Impact Op_Server0'), ('Remove User3', 'Impact Op_Server0'), ('DecoyApache User0', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('Analyse User0', 'Impact Op_Server0'), ('DecoyFemitter Enterprise1', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0'), ('DecoyFemitter Enterprise2', 'Impact Op_Server0'), ('DecoyApache Op_Host0', 'Impact Op_Server0'), ('DecoyFemitter Enterprise0', 'Impact Op_Server0'), ('DecoyApache Enterprise1', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Remove User4', 'DiscoverRemoteSystems 10.0.32.208/28'), ('DecoyApache Op_Host0', 'DiscoverNetworkServices 10.0.32.212'), ('DecoyApache User3', 'ExploitRemoteService 10.0.32.212'), ('DecoyFemitter User2', 'PrivilegeEscalate User2'), ('Remove User1', 'DiscoverNetworkServices 10.0.61.56'), ('DecoyApache User1', 'ExploitRemoteService 10.0.61.56'), ('DecoyFemitter Op_Host0', 'PrivilegeEscalate Enterprise1'), ('DecoyFemitter Op_Host1', 'DiscoverRemoteSystems 10.0.61.48/28'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.61.58'), ('DecoyApache User1', 'ExploitRemoteService 10.0.61.58'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.61.56'), ('Remove Op_Host2', 'PrivilegeEscalate Enterprise1'), ('Remove User4', 'DiscoverRemoteSystems 10.0.61.48/28'), ('DecoyApache Enterprise2', 'DiscoverNetworkServices 10.0.61.58'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.61.58'), ('Analyse Defender', 'PrivilegeEscalate Enterprise2'), ('Remove Enterprise0', 'DiscoverNetworkServices 10.0.178.105'), ('DecoyFemitter User4', 'ExploitRemoteService 10.0.178.105'), ('DecoyFemitter Enterprise2', 'PrivilegeEscalate Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('DecoyApache User4', 'Impact Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0'), ('DecoyFemitter User0', 'Impact Op_Server0'), ('DecoyFemitter User3', 'Impact Op_Server0'), ('Analyse User2', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('DecoyFemitter User0', 'Impact Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0')], total reward: -163.79999999999995
actions: [('Analyse User4', 'DiscoverRemoteSystems 10.0.34.96/28'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.34.104'), ('Analyse Defender', 'ExploitRemoteService 10.0.34.104'), ('Analyse Enterprise1', 'PrivilegeEscalate User2'), ('DecoyFemitter User0', 'DiscoverNetworkServices 10.0.204.82'), ('DecoyFemitter Op_Host0', 'ExploitRemoteService 10.0.204.82'), ('DecoyFemitter Enterprise2', 'PrivilegeEscalate Enterprise1'), ('DecoyApache User3', 'DiscoverRemoteSystems 10.0.204.80/28'), ('DecoyApache User1', 'DiscoverNetworkServices 10.0.204.87'), ('Analyse User4', 'ExploitRemoteService 10.0.204.87'), ('DecoyApache Enterprise1', 'PrivilegeEscalate Enterprise2'), ('Remove User0', 'DiscoverNetworkServices 10.0.231.180'), ('DecoyFemitter User2', 'ExploitRemoteService 10.0.231.180'), ('Analyse Op_Host1', 'PrivilegeEscalate Op_Server0'), ('DecoyApache Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('DecoyFemitter User0', 'Impact Op_Server0'), ('DecoyApache Enterprise2', 'Impact Op_Server0'), ('DecoyApache Enterprise0', 'Impact Op_Server0'), ('Analyse User2', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('DecoyApache User4', 'Impact Op_Server0'), ('DecoyFemitter User0', 'Impact Op_Server0'), ('Remove User3', 'Impact Op_Server0'), ('DecoyFemitter Op_Host2', 'Impact Op_Server0'), ('Remove User4', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('DecoyApache Op_Host0', 'DiscoverRemoteSystems 10.0.172.48/28'), ('DecoyApache Defender', 'DiscoverNetworkServices 10.0.172.52'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.172.52'), ('DecoyFemitter Enterprise0', 'PrivilegeEscalate User2'), ('Analyse User1', 'DiscoverNetworkServices 10.0.157.81'), ('DecoyApache Op_Host2', 'ExploitRemoteService 10.0.157.81'), ('DecoyFemitter User2', 'PrivilegeEscalate Enterprise1'), ('DecoyFemitter User2', 'DiscoverRemoteSystems 10.0.157.80/28'), ('DecoyApache User4', 'DiscoverNetworkServices 10.0.157.91'), ('DecoyApache Defender', 'ExploitRemoteService 10.0.157.91'), ('Remove Op_Host2', 'PrivilegeEscalate Enterprise2'), ('DecoyApache Enterprise1', 'DiscoverNetworkServices 10.0.190.166'), ('DecoyFemitter Op_Host2', 'ExploitRemoteService 10.0.190.166'), ('DecoyFemitter Op_Host2', 'PrivilegeEscalate Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('Analyse User0', 'Impact Op_Server0'), ('DecoyApache Enterprise0', 'Impact Op_Server0'), ('DecoyApache User4', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('DecoyApache Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('DecoyFemitter Op_Host0', 'Impact Op_Server0'), ('Analyse User0', 'Impact Op_Server0'), ('DecoyFemitter User4', 'Impact Op_Server0'), ('Analyse Enterprise2', 'Impact Op_Server0'), ('DecoyApache Defender', 'Impact Op_Server0'), ('DecoyFemitter User2', 'Impact Op_Server0'), ('Analyse User0', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Analyse User2', 'DiscoverRemoteSystems 10.0.165.240/28'), ('Analyse Defender', 'DiscoverNetworkServices 10.0.165.250'), ('Remove User0', 'ExploitRemoteService 10.0.165.250'), ('Analyse Enterprise1', 'PrivilegeEscalate User3'), ('DecoyFemitter User3', 'DiscoverNetworkServices 10.0.38.75'), ('Analyse User2', 'ExploitRemoteService 10.0.38.75'), ('Monitor', 'PrivilegeEscalate Enterprise0'), ('Analyse Enterprise0', 'DiscoverRemoteSystems 10.0.38.64/28'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.38.66'), ('DecoyFemitter Op_Server0', 'ExploitRemoteService 10.0.38.66'), ('DecoyApache User3', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.213.228'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.213.228'), ('DecoyApache Enterprise0', 'PrivilegeEscalate Op_Server0'), ('DecoyApache User3', 'Impact Op_Server0'), ('DecoyFemitter Op_Server0', 'Impact Op_Server0'), ('Analyse User4', 'Impact Op_Server0'), ('DecoyApache Enterprise1', 'Impact Op_Server0'), ('Analyse Enterprise2', 'Impact Op_Server0'), ('Remove Op_Server0', 'Impact Op_Server0'), ('DecoyApache Enterprise0', 'Impact Op_Server0'), ('DecoyApache User0', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('Remove Op_Host0', 'Impact Op_Server0'), ('DecoyFemitter Op_Server0', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('Remove Op_Host1', 'Impact Op_Server0'), ('DecoyApache Op_Host0', 'Impact Op_Server0'), ('DecoyApache Op_Host1', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0')], total reward: -223.69999999999993
