CybORG v2.1, Scenario2, Commit Hash: b6cb7403b198021ac9355a6f02ac26f925379c05
author: test, team: test, technique: test
wrappers: ChallengeWrapper(env=env, agent_name='Blue')
steps: 30, adversary: B_lineAgent, mean: -217.57699999999994, standard deviation 17.919482400308027
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.192.80/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.192.86'), ('Monitor', 'ExploitRemoteService 10.0.192.86'), ('Sleep', 'PrivilegeEscalate User4'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.194.188'), ('Monitor', 'ExploitRemoteService 10.0.194.188'), ('Sleep', 'PrivilegeEscalate Enterprise0'), ('Remove Op_Host2', 'DiscoverRemoteSystems 10.0.194.176/28'), ('Remove Op_Server0', 'DiscoverNetworkServices 10.0.194.181'), ('Remove Enterprise0', 'ExploitRemoteService 10.0.194.181'), ('Sleep', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.182.125'), ('Analyse Defender', 'ExploitRemoteService 10.0.182.125'), ('Sleep', 'PrivilegeEscalate Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('Remove Op_Host2', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.201.128/28'), ('Analyse User3', 'DiscoverNetworkServices 10.0.201.129'), ('Sleep', 'ExploitRemoteService 10.0.201.129'), ('Analyse Enterprise2', 'PrivilegeEscalate User1'), ('Monitor', 'DiscoverNetworkServices 10.0.0.3'), ('Analyse Op_Host2', 'ExploitRemoteService 10.0.0.3'), ('Analyse Enterprise2', 'PrivilegeEscalate Enterprise1'), ('Sleep', 'DiscoverRemoteSystems 10.0.0.0/28'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.0.4'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.0.4'), ('Sleep', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.50.82'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.50.82'), ('Analyse Op_Server0', 'PrivilegeEscalate Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse User1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.23.96/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.23.107'), ('Monitor', 'ExploitRemoteService 10.0.23.107'), ('Sleep', 'PrivilegeEscalate User2'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.78.153'), ('Monitor', 'ExploitRemoteService 10.0.78.153'), ('Sleep', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host1', 'DiscoverRemoteSystems 10.0.78.144/28'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.78.155'), ('Sleep', 'ExploitRemoteService 10.0.78.155'), ('Analyse Op_Host1', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.146.138'), ('Sleep', 'ExploitRemoteService 10.0.146.138'), ('Analyse Op_Host2', 'PrivilegeEscalate Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Remove Op_Host2', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.209.96/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.209.109'), ('Monitor', 'ExploitRemoteService 10.0.209.109'), ('Analyse Op_Host1', 'PrivilegeEscalate User1'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.249.133'), ('Sleep', 'ExploitRemoteService 10.0.249.133'), ('Remove Op_Host0', 'PrivilegeEscalate Enterprise1'), ('Sleep', 'DiscoverRemoteSystems 10.0.249.128/28'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.249.139'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.249.139'), ('Monitor', 'PrivilegeEscalate Enterprise2'), ('Sleep', 'DiscoverNetworkServices 10.0.223.225'), ('Analyse Op_Host2', 'ExploitRemoteService 10.0.223.225'), ('Analyse Enterprise1', 'PrivilegeEscalate Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Remove User3', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0')], total reward: -224.79999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.134.16/28'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.134.18'), ('Analyse Defender', 'ExploitRemoteService 10.0.134.18'), ('Sleep', 'PrivilegeEscalate User1'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.243.57'), ('Monitor', 'ExploitRemoteService 10.0.243.57'), ('Sleep', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host1', 'DiscoverRemoteSystems 10.0.243.48/28'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.243.54'), ('Sleep', 'ExploitRemoteService 10.0.243.54'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.243.57'), ('Analyse Enterprise0', 'PrivilegeEscalate Enterprise1'), ('Sleep', 'DiscoverRemoteSystems 10.0.243.48/28'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.243.54'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.243.54'), ('Sleep', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.227.197'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.227.197'), ('Sleep', 'PrivilegeEscalate Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Remove Op_Host1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0')], total reward: -163.69999999999996
actions: [('Analyse Op_Host2', 'DiscoverRemoteSystems 10.0.197.64/28'), ('Analyse User1', 'DiscoverNetworkServices 10.0.197.65'), ('Sleep', 'ExploitRemoteService 10.0.197.65'), ('Analyse Enterprise2', 'PrivilegeEscalate User2'), ('Monitor', 'DiscoverNetworkServices 10.0.81.250'), ('Sleep', 'ExploitRemoteService 10.0.81.250'), ('Analyse Op_Host1', 'PrivilegeEscalate Enterprise1'), ('Analyse Enterprise0', 'DiscoverRemoteSystems 10.0.81.240/28'), ('Sleep', 'DiscoverNetworkServices 10.0.81.252'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.81.252'), ('Analyse Op_Host1', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.46.126'), ('Sleep', 'ExploitRemoteService 10.0.46.126'), ('Remove User2', 'PrivilegeEscalate Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Remove Defender', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.67.16/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.67.23'), ('Monitor', 'ExploitRemoteService 10.0.67.23'), ('Sleep', 'PrivilegeEscalate User4'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.10.189'), ('Monitor', 'ExploitRemoteService 10.0.10.189'), ('Sleep', 'PrivilegeEscalate Enterprise0'), ('Analyse Op_Host0', 'DiscoverRemoteSystems 10.0.10.176/28'), ('Analyse Defender', 'DiscoverNetworkServices 10.0.10.184'), ('Sleep', 'ExploitRemoteService 10.0.10.184'), ('Analyse Op_Host0', 'PrivilegeEscalate Enterprise2'), ('Analyse Defender', 'DiscoverNetworkServices 10.0.106.123'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.106.123'), ('Sleep', 'PrivilegeEscalate Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse User1', 'Impact Op_Server0'), ('Remove Defender', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0')], total reward: -223.69999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.2.112/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.2.120'), ('Monitor', 'ExploitRemoteService 10.0.2.120'), ('Sleep', 'PrivilegeEscalate User3'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.76.29'), ('Remove Defender', 'ExploitRemoteService 10.0.76.29'), ('Sleep', 'PrivilegeEscalate Enterprise0'), ('Remove User4', 'DiscoverRemoteSystems 10.0.76.16/28'), ('Sleep', 'DiscoverNetworkServices 10.0.76.17'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.76.17'), ('Analyse Defender', 'PrivilegeEscalate Enterprise2'), ('Sleep', 'DiscoverNetworkServices 10.0.116.180'), ('Analyse Op_Host2', 'ExploitRemoteService 10.0.116.180'), ('Analyse Enterprise1', 'PrivilegeEscalate Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse User3', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.146.144/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.146.150'), ('Monitor', 'ExploitRemoteService 10.0.146.150'), ('Sleep', 'PrivilegeEscalate User2'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.215.34'), ('Monitor', 'ExploitRemoteService 10.0.215.34'), ('Remove Defender', 'PrivilegeEscalate Enterprise1'), ('Sleep', 'DiscoverRemoteSystems 10.0.215.32/28'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.215.35'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.215.35'), ('Sleep', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.151.168'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.151.168'), ('Sleep', 'PrivilegeEscalate Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Remove Op_Server0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Remove User4', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.116.32/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.116.33'), ('Remove User2', 'ExploitRemoteService 10.0.116.33'), ('Remove Enterprise0', 'PrivilegeEscalate User1'), ('Sleep', 'DiscoverNetworkServices 10.0.227.213'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.227.213'), ('Analyse Enterprise0', 'PrivilegeEscalate Enterprise1'), ('Sleep', 'DiscoverRemoteSystems 10.0.227.208/28'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.227.214'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.227.214'), ('Sleep', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.73.6'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.73.6'), ('Sleep', 'PrivilegeEscalate Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0')], total reward: -224.79999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.126.32/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.126.41'), ('Monitor', 'ExploitRemoteService 10.0.126.41'), ('Sleep', 'ExploitRemoteService 10.0.126.41'), ('Analyse Enterprise2', 'PrivilegeEscalate User3'), ('Monitor', 'DiscoverNetworkServices 10.0.222.35'), ('Sleep', 'ExploitRemoteService 10.0.222.35'), ('Analyse Op_Host0', 'PrivilegeEscalate Enterprise0'), ('Analyse User2', 'DiscoverRemoteSystems 10.0.222.32/28'), ('Sleep', 'DiscoverNetworkServices 10.0.222.37'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.222.37'), ('Analyse Defender', 'PrivilegeEscalate Enterprise2'), ('Sleep', 'DiscoverNetworkServices 10.0.248.106'), ('Analyse Op_Host2', 'ExploitRemoteService 10.0.248.106'), ('Analyse Enterprise1', 'PrivilegeEscalate Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0')], total reward: -210.59999999999994
